"","k_CCAplus","intercept_CCAplus","k_GScore","intercept_Gscore"
"432",0.459727,0.0355724,0.274242,1.8843
"433",0.404291,0.00232002,0.273116,1.86974
"434",0.407609,0.00669328,0.264772,1.85549
"435",0.422806,0.0376994,0.292842,1.67827
"436",0.425795,0.0219845,0.295507,1.71933
"437",0.436302,-0.0239432,0.305178,1.65532
"438",0.424729,0.0356807,0.320023,1.59034
"439",0.422397,0.124471,0.299631,1.71305
"440",0.444712,0.155952,0.281785,1.63752
"441",0.513151,0.160061,0.284853,1.63892
"442",0.534521,0.0468223,0.288232,1.68854
"443",0.504249,-0.00523958,0.292743,1.61697
"444",0.51973,0.0560584,0.292075,1.63547
"445",0.533197,0.0378509,0.285905,1.61741
"446",0.480016,0.0269475,0.286561,1.67093
"447",0.436242,0.00940978,0.302596,1.73616
"448",0.415465,-0.0873323,0.318279,1.65542
"449",0.386689,-0.0897121,0.343948,1.63948
"450",0.401564,-0.100006,0.316242,1.68685
"451",0.425784,-0.0250386,0.302681,1.65487
"452",0.473312,0.0262482,0.301708,1.66297
"453",0.486182,0.0306107,0.328026,1.80317
"454",0.477927,-0.0653302,0.317189,1.86229
"455",0.420125,-0.127092,0.341762,1.81239
"456",0.447564,-0.156311,0.30783,1.80566
"457",0.441612,-0.152246,0.303769,1.83432
"458",0.386708,-0.127213,0.3074,1.93525
"459",0.419222,-0.0148061,0.303421,1.93971
"460",0.384338,-0.000551764,0.312881,1.92856
"461",0.415469,0.056502,0.32898,1.80811
"462",0.433041,0.0296358,0.331866,1.88044
"463",0.473517,0.0282179,0.356402,1.77088
"464",0.429181,0.0411646,0.360728,1.74663
"465",0.393517,0.0189482,0.362389,1.79225
"466",0.450662,0.0369603,0.355514,1.80025
"467",0.440857,0.00358437,0.357876,1.75455
"468",0.444609,-0.00717481,0.365118,1.76941
"469",0.4293,-0.0303321,0.367102,1.60919
"470",0.411062,-0.0554944,0.369196,1.50541
"471",0.436387,-0.105263,0.365468,1.57554
"472",0.385185,-0.135302,0.328408,1.61608
"473",0.355488,-0.148376,0.32405,1.64091
"474",0.38878,-0.168943,0.310748,1.61279
"475",0.377678,-0.189109,0.32928,1.66295
"476",0.361389,-0.158059,0.295658,1.65366
"477",0.359739,-0.12089,0.301343,1.66618
"478",0.420059,-0.124192,0.323998,1.60867
"479",0.456573,-0.0889095,0.336032,1.55161
"480",0.450096,-0.0621953,0.340913,1.55771
"481",0.462997,0.0709448,0.348978,1.65268
"482",0.452402,0.0913169,0.351371,1.64595
"483",0.448676,0.0893823,0.342468,1.66817
"484",0.436351,0.115183,0.358243,1.60513
"485",0.47238,0.1327,0.357136,1.68459
"486",0.471126,0.157583,0.330099,1.70508
"487",0.502297,0.144194,0.330018,1.59987
"488",0.502631,0.167734,0.327649,1.5383
"489",0.521678,0.0969611,0.322325,1.74677
"490",0.484944,0.0969066,0.328609,1.66151
"491",0.460642,0.115631,0.292605,1.80373
"492",0.471194,0.000428686,0.297997,1.80855
"493",0.413966,0.017316,0.302535,1.73865
"494",0.412598,-0.117059,0.310882,1.83759
"495",0.389336,0.0448308,0.290826,1.74081
"496",0.379283,0.0459779,0.294504,1.81852
"497",0.396224,-0.0390775,0.294678,1.76006
"498",0.381338,0.0426965,0.291527,1.83191
"499",0.385974,0.055394,0.292933,1.82715
"500",0.400628,0.00925564,0.281847,1.84844
"501",0.362981,0.00113496,0.29132,1.90698
"502",0.349356,-0.0195834,0.27208,1.88304
"503",0.399909,0.0121249,0.287316,1.89438
"504",0.408035,-0.0280762,0.270058,1.88379
"505",0.408473,0.078497,0.300971,1.83595
"506",0.394712,0.0674253,0.269307,1.83432
"507",0.442416,0.0693829,0.281604,1.81766
"508",0.458692,-0.0261418,0.281274,1.88738
"509",0.455409,0.0321607,0.266587,1.90474
"510",0.430112,-0.0643082,0.284241,1.90751
"511",0.39385,0.018483,0.283239,1.87864
"512",0.393817,0.0769979,0.29018,1.80072
"513",0.426235,0.0727709,0.293711,1.90282
"514",0.425623,0.00372856,0.297942,1.60113
"515",0.429861,0.0224931,0.31046,1.616
"516",0.416087,0.0997482,0.32826,1.45646
"517",0.441617,0.0435331,0.331185,1.4889
"518",0.430142,0.123989,0.333119,1.51389
"519",0.475802,0.106256,0.333516,1.59273
"520",0.459459,0.153504,0.328008,1.66225
"521",0.473891,0.00514308,0.329323,1.55501
"522",0.520981,0.0420824,0.33617,1.55607
"523",0.472357,-0.0691962,0.344486,1.61974
"524",0.477253,0.0633843,0.346303,1.60878
"525",0.47898,0.0314936,0.332572,1.61619
"526",0.468306,0.00971087,0.337723,1.70909
"527",0.476198,0.0357374,0.342159,1.64678
"528",0.494717,0.0228633,0.326528,1.62278
"529",0.488586,0.0654309,0.313942,1.54341
"530",0.469215,0.00657194,0.31879,1.54626
"531",0.428078,-0.0667448,0.31736,1.62581
"532",0.435078,0.101818,0.319188,1.6733
"533",0.443667,0.0788246,0.331115,1.63909
"534",0.42812,-0.0264478,0.333534,1.66838
"535",0.422288,-0.0174707,0.336765,1.6626
"536",0.407759,-0.00368004,0.338852,1.74139
"537",0.399832,-0.00232709,0.332706,1.69085
"538",0.390463,-0.0289388,0.328234,1.77638
"539",0.355663,-0.0565664,0.340853,1.73618
"540",0.380961,0.0315148,0.36146,1.69497
"541",0.395057,0.0115971,0.371046,1.63022
"542",0.445788,-0.0795104,0.377063,1.63075
"543",0.358506,-0.0965046,0.322247,1.75902
"544",0.360403,-0.0507724,0.322698,1.77443
"545",0.426816,-0.0589318,0.322175,1.83631
"546",0.383135,-0.0528035,0.336262,1.8202
"547",0.38808,-0.0459878,0.326555,1.76078
"548",0.395214,-0.063741,0.341624,1.8513
"549",0.403686,-0.0400937,0.341564,1.82071
"550",0.434869,-0.0148784,0.327151,1.80383
"551",0.420018,-0.0670334,0.318844,1.83548
"552",0.460226,-0.000132336,0.310073,1.90666
"553",0.418065,0.00943519,0.307394,2.01611
"554",0.420205,-0.0883568,0.289816,1.98933
"555",0.415514,-0.132981,0.3042,1.98885
"556",0.415269,-0.107736,0.311117,1.8949
"557",0.400988,-0.0354394,0.290754,1.87856
"558",0.387313,0.0347576,0.285446,1.92628
"559",0.396386,0.0411705,0.291145,1.83283
"560",0.384974,-0.101432,0.299259,1.8927
"561",0.381427,-0.143501,0.297714,1.8952
"562",0.391009,-0.0502595,0.292841,1.87158
"563",0.445612,-0.0250757,0.302152,1.85098
"564",0.343417,-0.0364851,0.278914,1.75699
"565",0.357583,-0.0322169,0.314729,1.69734
"566",0.361206,0.0224231,0.302768,1.78947
"567",0.425557,0.0255734,0.329726,1.80754
"568",0.457128,-0.0531605,0.328748,1.79767
"569",0.439968,-0.0365851,0.358278,1.79803
"570",0.410584,-0.00959727,0.35861,1.72143
"571",0.408177,-0.00669738,0.368341,1.80529
"572",0.425745,0.0135452,0.318551,1.72286
"573",0.506774,0.0190764,0.314103,1.62117
"574",0.457057,-0.145684,0.31246,1.72891
